,price,funding,cost,traded,hours_held,long_pnl,short_pnl,total,t24_med
OPNUSDT,5.295014389531586,0.037602393597300665,0.1438462343183538,214.69587211694596,264.0,0.0,5.295014389531586,5.188770548810532,7671650.203125
NIGHTUSDT,8.02956101318217,-2.0210864016311603,0.7471211415268536,1115.1061813833635,444.0,-0.5489359607786554,8.578496973960828,5.261353470024155,6816874.60546875
LAUSDT,6.247623930188888,-0.10775252403176273,0.8205077007415005,1224.6383593156725,180.0,0.0,6.247623930188888,5.319363705415625,9004059.671875
OXTUSDT,5.960123087182211,0.38296823605763436,0.5635445045654845,841.1112008440067,108.0,-3.21226049039441,9.172383577576621,5.779546818674361,2863991.392578125
PYTHUSDT,6.823928903656706,1.9854915683410965,2.851692704656837,4256.2577681445355,2328.0,2.4285894412391675,4.39533946241749,5.957727767340966,22308534.6875
ANIMEUSDT,12.08353575805798,-4.432792956722695,1.4832061277994564,2213.7404892529203,468.0,-5.762749399227719,17.8462851572857,6.167536673535829,6816952.34765625
WAXPUSDT,5.1014445235415256,1.5302433878843893,0.2944302005013858,439.44806044982954,36.0,-2.4461881227494007,7.547632646290926,6.337257710924529,2723469.50390625
SKRUSDT,7.172498185814906,-0.6579253595163985,0.11764628329988659,175.59146761177107,36.0,0.0,7.172498185814906,6.396926542998621,2183966.7734375
AVAUSDT,6.555825616294783,0.017941059986162203,0.16163255764529647,241.24262335118874,12.0,0.0,6.555825616294783,6.412134118635649,1597884.5712890625
AVAAIUSDT,7.057997823060539,-0.12831303196114827,0.47994386059654415,716.3341202933494,276.0,7.057997823060539,0.0,6.4497409305028475,5947401.25390625
LABUSDT,-60.04557780391748,68.16222150486536,1.5142678195782033,2260.1012232510498,1152.0,-58.58568660880535,-1.4598911951121305,6.602375881369673,21781555.4375
XEMUSDT,-8.312772651184808,29.8855333078669,14.869696956995954,22193.57754775516,3852.0,10.102101684029344,-18.414874335213934,6.703063699686139,19410450.1953125
ZENUSDT,21.84714741144918,-0.062274554648217545,14.967019103866498,22338.834483382845,7776.0,-75.3863993106079,97.233546722058,6.817853752934461,16060298.375
WALUSDT,10.12388551652221,-2.5324483977984698,0.4445183617235904,663.4602413784933,36.0,0.0,10.12388551652221,7.146918757000149,5662833.982421875
REUSDT,7.390289756038266,-0.027688138886040554,0.15644849728852736,233.5052198336229,48.0,0.0,7.390289756038266,7.206153119863698,35844823.75
