label,sharpe,cagr,mdd,worst_day,turnover,n_stops,y2022,y2023,y2024,y2025,y2026
R5 J1 capY0.5% w8=2.0 q8=0.35,1.0550601193811318,0.1312900665647505,-0.16137993210124135,-0.048411216322138295,244.94573632619017,0,2.067015862165397,0.7822629337189924,0.35748944961265366,2.7865851426455164,-0.8486119912658876
R5 J1 capY0.5% w8=2.0 smooth0.4,1.6492356634589571,0.21394339354284364,-0.1992389189615542,-0.044077820162155334,290.0971318190492,0,2.148886514948614,1.5257033566107443,0.7257382081295506,3.031578321607197,0.5814531385167282
R5 J1 capY0.5% w8=2.0 smooth0.6,0.9315330603955202,0.11446124081708664,-0.16181824463830852,-0.057301176882310734,207.70540240108625,0,2.2768657500172007,0.9816018333016062,1.1708743842971463,0.9878138574831047,-0.6585265428640665
R5 J2 capY0.75% w8=1.5 base,0.9072120222771052,0.1153049539937745,-0.14924672861080268,-0.05586599553915528,221.39714245515484,0,2.0158350353971777,1.2868547823327148,0.499317138969576,1.1407594991103462,-0.48963129589041476
R5 J2 capY0.75% w8=1.5 band0.2,1.3380878204972058,0.1818148060442777,-0.1878163081030465,-0.046074952715063566,229.254979039858,0,2.1488667388926683,1.1929127510924402,0.2240386181394808,2.054925846485359,0.9376035192442215
R5 J2 capY0.75% w8=1.5 band0.4,0.8243513804348679,0.1007336651401447,-0.16672149413014103,-0.05594788033147624,208.75079921261042,0,1.879821977761242,1.5547086830714707,0.8474823331016326,0.5128921408413867,-0.6794958535364046
R5 J2 capY0.75% w8=1.5 age120,1.4148889718362512,0.19232619290788966,-0.18605475886683054,-0.04483023047822854,214.70917080646268,0,2.416337342149852,1.0967585218203357,0.6574713886752127,1.8576867328331126,0.949823388111904
R5 J2 capY0.75% w8=1.5 q8=0.35,0.9274484245356848,0.11747363524523147,-0.14451250072168575,-0.05536313232547896,223.49311344559854,0,2.15310544148298,0.9719746863325065,1.0014749628493709,0.890656352862858,-0.40670126038134896
R5 J2 capY0.75% w8=1.5 smooth0.4,0.7693488417037727,0.0952685514176792,-0.15883233912797556,-0.05386226788085069,256.4422382724711,0,1.7481402752832802,1.441834025394781,0.22132561660548503,1.0185584269364978,-0.6968516140295258
R5 J2 capY0.75% w8=1.5 smooth0.6,0.9107968667191183,0.11426446261119172,-0.1521159936223544,-0.054381479909660246,184.23099999751133,0,2.42693710505969,1.1827051607222305,0.7176005749747879,0.7428326756760727,-0.4947824310190854
R5 J2 capY0.75% w8=2.0 base,0.9960093419016931,0.12771059113109406,-0.13997981218354205,-0.05050498056676622,244.0256671155791,0,1.9647992171705173,1.5306641772992564,0.5261859038898823,1.4114965106781667,-0.6085599066991366
R5 J2 capY0.75% w8=2.0 band0.2,1.4445469385255985,0.19696421615781134,-0.187973473127369,-0.044289707086111796,253.1205017302448,0,1.917307036457464,1.4088076529609663,0.6459979128628589,2.1648285839452206,0.9466359207311738
R5 J2 capY0.75% w8=2.0 band0.4,0.902261004817018,0.11485306171648824,-0.1600254192025622,-0.05367330345953247,236.30249657899088,0,1.7034346906521278,1.678005133395387,0.8100113322537744,1.1301032951648617,-0.8858890813323377
R5 J2 capY0.75% w8=2.0 age120,1.4141450057777485,0.19160007915420962,-0.1714124772451131,-0.043163879366937774,237.73531608121107,0,2.3068385050483444,1.3151927350126689,0.3999905258607751,1.7831824331107387,1.2159116797960334
R5 J2 capY0.75% w8=2.0 q8=0.35,1.2677280983032966,0.1651333961485577,-0.17780418136522502,-0.043514469292714075,243.40339509958622,0,2.1699562778884847,1.0909563671536442,0.6967003712357486,1.4227553767451189,0.9934175826794739
R5 J2 capY0.75% w8=2.0 smooth0.4,0.9980711372436212,0.12619128423846115,-0.14588670308355922,-0.05076926263848702,284.18588969198146,0,1.997107624759613,1.8807673529654751,0.5598826896443452,1.176996294793655,-0.6766571546521509
R5 J2 capY0.75% w8=2.0 smooth0.6,0.9335391796201625,0.11952858608852246,-0.15555692602039284,-0.05281774941106432,207.34183717440948,0,2.465611161985469,1.2621590372762663,0.3500218650075778,1.1427522009971,-0.5668078033398507
R5 J3 stopS25 w8=1.5 base,0.833844813322441,0.11075915448018536,-0.1765005755698119,-0.051580224096106075,228.78475845955555,1721,1.6038578442796583,0.6481263743770819,1.1976694338529472,0.10641131151636193,1.019330135875486
R5 J3 stopS25 w8=1.5 band0.2,1.418960420630047,0.19515917133619887,-0.15977317075893693,-0.04733480244967936,237.29753921867703,1779,1.5655754014518573,0.8310995223413926,0.5305336671236,2.5846243750350872,1.420113610794813
R5 J3 stopS25 w8=1.5 band0.4,1.3627470977910723,0.185349072203693,-0.16088061247305396,-0.04633602166777184,220.5736314603468,1840,1.5044945435767456,0.975983466824521,0.05368958101745041,2.7487073543801683,1.3478003994310443
R5 J3 stopS25 w8=1.5 age120,0.49587515146520766,0.05820830714448566,-0.16214832720439298,-0.04351642187407745,221.892953926147,1727,1.8856959743863482,0.4732145029626526,1.0520175342477731,-0.3868125022781975,-0.49489029893970954
R5 J3 stopS25 w8=1.5 q8=0.35,0.4075188194198943,0.04588663726055664,-0.1663260543733257,-0.04436224706052516,228.93194346691894,1708,1.279037916629357,0.5503251039426325,1.0940614534559212,-0.1682143668149309,-0.8174586046567034
R5 J3 stopS25 w8=1.5 smooth0.4,1.4077777287635271,0.19103898184866486,-0.1442818004269526,-0.05037775520960763,261.5821403617969,1796,1.4864092778253153,1.1623041940257295,0.43771894931604427,2.5229686106107767,1.2340316942160423
R5 J3 stopS25 w8=1.5 smooth0.6,1.3592245992268093,0.18703473601347764,-0.17676625523268719,-0.049904593473691694,187.5962050065396,1751,1.6147115641604037,0.685890988907277,0.6466457317420417,2.7299431411374155,0.8181089154747685
R5 J3 stopS25 w8=2.0 base,0.7363366452243479,0.08989377843791702,-0.17186985192363735,-0.05038680472287793,247.59550753996348,1786,1.8253989481000246,1.1078704535329726,1.6876847389208147,-0.2992772171004061,-0.7192067555860945
R5 J3 stopS25 w8=2.0 band0.2,0.566063429709583,0.06721276580845781,-0.17418741034354812,-0.052229417429549674,260.8860260568448,1726,1.4825617993750475,1.1942325834838332,1.1292798384481257,-0.2825897622553746,-0.7236286763832814
R5 J3 stopS25 w8=2.0 band0.4,0.493045035844786,0.05578480668738317,-0.23767301699640064,-0.04167188028202662,240.830018007271,1892,1.6710517250920474,1.6764799072703678,0.8110695169399008,-0.8383725709451417,-0.7872927684874576
R5 J3 stopS25 w8=2.0 age120,0.7788176487686751,0.0979187016698484,-0.1824999401899574,-0.04708676191003647,246.2466606332374,1820,2.1423315196631654,1.0852202392455685,1.7037426763075374,-0.43753393797599294,-0.6339919637263798
R5 J3 stopS25 w8=2.0 q8=0.35,0.6029755118255542,0.07263398268400567,-0.17426844457871948,-0.04293056774189752,249.48707387171447,1804,1.6877826450342168,0.927556681326454,1.1280925096422425,-0.09732061146265752,-0.6552836380864483
R5 J3 stopS25 w8=2.0 smooth0.4,0.9367928959870263,0.11824278200154437,-0.1688901477791438,-0.045153192997175906,288.9725738918826,1804,1.998957256429654,2.022396614119845,1.411685810726338,-0.25995919938219,-0.2888024952362746
R5 J3 stopS25 w8=2.0 smooth0.6,1.3446360859537583,0.18761203996110432,-0.19573710067994332,-0.06431858026471671,212.9196189431236,1835,1.881726087595174,0.8866587803364511,0.1882685306685463,2.5193608694170475,0.9444567533238072
R5 J4 capY0.5%+stopS25 w8=1.5 base,0.9064426996317275,0.10657298070594656,-0.1858542982122653,-0.04280234799538407,253.78475489862393,2429,1.6368518439677178,0.5138171314502314,0.8919365204584306,1.8224397876027647,-0.7312145188992473
R5 J4 capY0.5%+stopS25 w8=1.5 band0.2,0.8578819241816286,0.09859014560062129,-0.12713670465476434,-0.03386495456808336,251.2396567215955,2256,1.7360871155726023,0.36725292916047725,0.6296270707858553,1.6022325273559805,-0.3117125186954708
